city,state,station,latitude,longitude,PM10,AQI,AQI_Category
Aurangabad,Maharashtra,"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,50.0,50,Good
Jabalpur,Madhya Pradesh,"Suhagi, Jabalpur - JMC",23.218135,79.95777,76.0,76,Satisfactory
Indore,Madhya Pradesh,"Airport Area, Indore - IMC",22.7289,75.8076,41.0,41,Good
Nagpur,Maharashtra,"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,98.0,98,Satisfactory
Nagpur,Maharashtra,"Ram Nagar, Nagpur - MPCB",21.143383,79.048912,124.0,116,Moderate
Mumbai,Maharashtra,"Kherwadi_Bandra East, Mumbai - MPCB",19.0632143,72.8456324,52.0,52,Satisfactory
Nashik,Maharashtra,"Pandav Nagari, Nashik - MPCB",19.9591346,73.7788008,46.0,46,Good
Malegaon,Maharashtra,"Mahesh Nagar, Malegaon - MPCB",20.555712,74.529236,51.0,51,Satisfactory
Mumbai,Maharashtra,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",19.10078,72.87462,71.0,71,Satisfactory
Mumbai,Maharashtra,"Siddharth Nagar-Worli, Mumbai - IITM",19.000083,72.813993,83.0,83,Satisfactory
Mumbai,Maharashtra,"Borivali East, Mumbai - MPCB",19.2243333,72.8658113,44.0,44,Good
Pune,Maharashtra,"Katraj Dairy, Pune - MPCB",18.45445,73.854155,34.0,34,Good
Suakati,Odisha,"OMC Colony, Suakati - OSPCB",21.606865,85.510538,46.0,46,Good
Tensa,Odisha,"Barsua Iron Ore Mines, Tensa - OSPCB",21.869985,85.167016,54.0,54,Satisfactory
Amritsar,Punjab,"Golden Temple, Amritsar - PPCB",31.62,74.876512,154.0,136,Moderate
Cuttack,Odisha,"CDA Area, Cuttack - OSPCB",20.48891,85.84768,28.0,28,Good
Nayagarh,Odisha,"Dabuna, Nayagarh - OSPCB",21.847279,85.416905,60.0,60,Satisfactory
Imphal,Manipur,"DM College of Science, Imphal - Manipur PCB",24.8207389,93.9423085,27.0,27,Good
Pune,Maharashtra,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,74.0,74,Satisfactory
Sangli,Maharashtra,"Vijay Nagar, Sangli - MPCB",16.5038,74.3623,54.0,54,Satisfactory
Bileipada,Odisha,"Tata Township, Bileipada - OSPCB",22.06156703,85.47409613,87.0,87,Satisfactory
Ludhiana,Punjab,"Punjab Agricultural University, Ludhiana - PPCB",30.9028,75.8086,119.0,113,Moderate
Dholpur,Rajasthan,"Raja Ganj, Dholpur - RSPCB",26.699557,77.898881,124.0,116,Moderate
Jaipur,Rajasthan,"RIICO Sitapura, Jaipur - RSPCB",26.786682,75.827928,113.0,109,Moderate
Jodhpur,Rajasthan,"Mandor, Jodhpur - RSPCB",26.358805,73.047444,69.0,69,Satisfactory
Karauli,Rajasthan,"Satyawati Vihar, Karauli - RSPCB",26.506177,77.025989,80.0,80,Satisfactory
Jaisalmer,Rajasthan,"Sadar Bazar, Jaisalmer - RSPCB",26.912329,70.909168,107.0,105,Moderate
Chennai,TamilNadu,"Alandur Bus Depot, Chennai - CPCB",12.9099161,80.1076538,38.0,38,Good
Madurai,TamilNadu,"Uchapatti, Madurai - TNPCB",9.865935,78.022669,26.0,26,Good
Dindigul,TamilNadu,"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321,39.0,39,Good
Coimbatore,TamilNadu,"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349,23.0,23,Good
Tiruchirappalli,TamilNadu,"St Joseph College, Tiruchirappalli - TNPCB",10.830158,78.691849,42.0,42,Good
Kanchipuram,TamilNadu,"Kilambi, Kanchipuram - TNPCB",12.864618,79.659968,41.0,41,Good
Ghaziabad,Uttar_Pradesh,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,112.0,108,Moderate
Gorakhpur,Uttar_Pradesh,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,124.0,116,Moderate
Hyderabad,Telangana,"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,58.0,58,Satisfactory
Hyderabad,Telangana,"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939,70.0,70,Satisfactory
Hyderabad,Telangana,"IITH Kandi, Hyderabad - TSPCB",17.585705,78.126199,61.0,61,Satisfactory
Hapur,Uttar_Pradesh,"Anand Vihar, Hapur - UPPCB",28.725645,77.749675,89.0,89,Satisfactory
Jhansi,Uttar_Pradesh,"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,71.0,71,Satisfactory
Kanpur,Uttar_Pradesh,"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,86.0,86,Satisfactory
Kanpur,Uttar_Pradesh,"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,89.0,89,Satisfactory
Kanpur,Uttar_Pradesh,"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863,73.0,73,Satisfactory
Varanasi,Uttar_Pradesh,"Ardhali Bazar, Varanasi - UPPCB",25.3505986,82.9083074,55.0,55,Satisfactory
Lucknow,Uttar_Pradesh,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,77.0,77,Satisfactory
Lucknow,Uttar_Pradesh,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,64.0,64,Satisfactory
Haldia,West_Bengal,"Priyambada Housing Estate, Haldia - WBPCB",22.06047,88.109737,24.0,24,Good
Siliguri,West_Bengal,"Ward-32 Bapupara, Siliguri - WBPCB",26.6879226,88.4152495,35.0,35,Good
Buxar,Bihar,"Charitra Van, Buxar - BSPCB",25.56752,83.966379,58.0,58,Satisfactory
Gaya,Bihar,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,112.0,108,Moderate
Aurangabad,Bihar,"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,53.0,53,Satisfactory
Muzaffarpur,Bihar,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,44.0,44,Good
Delhi,Delhi,"ITO, Delhi - CPCB",28.628624,77.24106,136.0,124,Moderate
Delhi,Delhi,"Lodhi Road, Delhi - IITM",28.588333,77.221667,122.0,115,Moderate
Delhi,Delhi,"Alipur, Delhi - DPCC",28.815329,77.15301,177.0,151,Moderate
Delhi,Delhi,"Bawana, Delhi - DPCC",28.7762,77.051074,189.0,159,Moderate
Delhi,Delhi,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,71.0,71,Satisfactory
Bhilai,Chhattisgarh,"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,30.0,30,Good
Korba,Chhattisgarh,"Rampur, Korba - CECB",22.368195,82.746431,43.0,43,Good
Raipur,Chhattisgarh,"AIIMS, Raipur - CECB",21.258815,81.578979,62.0,62,Satisfactory
Raipur,Chhattisgarh,"Siltara Phase-II, Raipur - CECB",21.371751,81.664929,99.0,99,Satisfactory
Delhi,Delhi,"Wazirpur, Delhi - DPCC",28.699793,77.165453,236.0,191,Moderate
Ahmedabad,Gujarat,"Rakhial, Ahmedabad - IITM",23.016834,72.625775,47.0,47,Good
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,172.0,148,Moderate
Panchgaon,Haryana,"Amity University, Panchgaon - IITM",28.3153,76.9143,71.0,71,Satisfactory
Delhi,Delhi,"Narela, Delhi - DPCC",28.822836,77.101981,190.0,160,Moderate
Vijayapura,Karnataka,"Ibrahimpur, Vijayapura - KSPCB",16.802639,75.722694,47.0,47,Good
Eloor,Kerala,"Udyogamandal, Eloor - Kerala PCB",10.073232,76.302765,43.0,43,Good
Damoh,Madhya Pradesh,"Shrivastav Colony, Damoh - MPPCB",23.81748678,79.446246,81.0,81,Satisfactory
Chikkaballapur,Karnataka,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13.428828,77.731418,31.0,31,Good
Bengaluru,Karnataka,"Jigani, Bengaluru - KSPCB",12.7816279,77.6299145,73.0,73,Satisfactory
Kollam,Kerala,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,81.0,81,Satisfactory
Bengaluru,Karnataka,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,17.0,17,Good
Pithampur,Madhya Pradesh,"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,91.0,91,Satisfactory
Aurangabad,Maharashtra,"Rachnakar Colony, Aurangabad - MPCB",19.863756,75.321188,87.0,87,Satisfactory
Sagar,Madhya Pradesh,"Deen Dayal Nagar, Sagar - MPPCB",23.8640158,78.80289321,56.0,56,Satisfactory
Navi Mumbai,Maharashtra,"Kopripada-Vashi, Navi Mumbai - MPCB",19.090337,73.014232,54.0,54,Satisfactory
Mumbai,Maharashtra,"Chembur, Mumbai - MPCB",19.0364585,72.8954371,52.0,52,Satisfactory
Mumbai,Maharashtra,"Byculla, Mumbai - BMC",18.9767,72.838,28.0,28,Good
Mumbai,Maharashtra,"Worli, Mumbai - MPCB",18.9936162,72.8128113,74.0,74,Satisfactory
Nagpur,Maharashtra,"Ambazari, Nagpur - MPCB",21.121801,79.04952,112.0,108,Moderate
Mumbai,Maharashtra,"Powai, Mumbai - MPCB",19.1375,72.915056,60.0,60,Satisfactory
Rairangpur,Odisha,"Divisional Forest Office, Rairangpur - OSPCB",22.265816,86.174829,50.0,50,Good
Rourkela,Odisha,"Fertilizer Township, Rourkela - OSPCB",22.18972222,84.86277778,100.0,100,Satisfactory
Rourkela,Odisha,"Sector-2, Rourkela - OSPCB",22.245,84.88111111,74.0,74,Satisfactory
Talcher,Odisha,"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,40.0,40,Good
Brajrajnagar,Odisha,"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,56.0,56,Satisfactory
Pimpri-Chinchwad,Maharashtra,"Park Street Wakad, Pimpri Chinchwad - MPCB",18.59051,73.77946,59.0,59,Satisfactory
Bhubaneswar,Odisha,"Lingraj Mandir, Bhubaneswar - OSPCB",20.24079,85.836784,19.0,19,Good
Ulhasnagar,Maharashtra,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB",19.235581,73.159121,93.0,93,Satisfactory
Jodhpur,Rajasthan,"Collectorate, Jodhpur - RSPCB",26.268249,73.0193853,86.0,86,Satisfactory
Jodhpur,Rajasthan,"Jhalamand, Jodhpur - RSPCB",26.215415,73.070156,75.0,75,Satisfactory
Jodhpur,Rajasthan,"Samrat Ashok Udhyan, Jodhpur - RSPCB",26.253384,72.976571,56.0,56,Satisfactory
Jaipur,Rajasthan,"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,108.0,106,Moderate
Bhiwadi,Rajasthan,"RIICO Ind. Area III, Bhiwadi - RSPCB",28.194909,76.862296,97.0,97,Satisfactory
Ajmer,Rajasthan,"Civil Lines,  Ajmer - RSPCB",26.470859,74.646594,84.0,84,Satisfactory
Hanumangarh,Rajasthan,"Housing Board, Hanumangarh - RSPCB",29.61075,74.283608,137.0,125,Moderate
Jaipur,Rajasthan,"Mansarovar Sector-12, Jaipur - RSPCB",26.843698,75.766894,91.0,91,Satisfactory
Dungarpur,Rajasthan,"Bhoiwada, Dungarpur - RSPCB",23.837789,73.714926,85.0,85,Satisfactory
Chennai,TamilNadu,"Royapuram, Chennai - TNPCB",13.1036,80.2909,33.0,33,Good
Udaipur,Rajasthan,"Ashok Nagar, Udaipur - RSPCB",24.5886166,73.6321397,81.0,81,Satisfactory
Bulandshahr,Uttar_Pradesh,"Yamunapuram, Bulandshahr - UPPCB",28.406963,77.849831,118.0,112,Moderate
Hyderabad,Telangana,"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.286195,67.0,67,Satisfactory
Hyderabad,Telangana,"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,101.0,101,Moderate
Asansol,West_Bengal,"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,57.0,57,Satisfactory
Varanasi,Uttar_Pradesh,"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,51.0,51,Satisfactory
Vrindavan,Uttar_Pradesh,"Omex Eternity, Vrindavan - UPPCB",27.571409,77.655757,60.0,60,Satisfactory
Noida,Uttar_Pradesh,"Sector - 62, Noida - IMD",28.6245479,77.3577104,151.0,134,Moderate
Noida,Uttar_Pradesh,"Sector-1, Noida - UPPCB",28.5898,77.3101,137.0,125,Moderate
Lucknow,Uttar_Pradesh,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,169.0,146,Moderate
Meerut,Uttar_Pradesh,"Pallavpuram Phase 2, Meerut - UPPCB",29.06351,77.709723,117.0,112,Moderate
Moradabad,Uttar_Pradesh,"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446,68.0,68,Satisfactory
Durgapur,West_Bengal,"PCBL Residential Complex, Durgapur - WBPCB",23.508764,87.35444,77.0,77,Satisfactory
Howrah,West_Bengal,"Botanical Garden, Howrah - WBPCB",22.554954,88.292568,31.0,31,Good
Howrah,West_Bengal,"Dasnagar, Howrah - WBPCB",22.6025571,88.3105664,42.0,42,Good
Howrah,West_Bengal,"Ghusuri, Howrah - WBPCB",22.611968,88.347422,24.0,24,Good
Kolkata,West_Bengal,"Rabindra Bharati University, Kolkata - WBPCB",22.627847,88.380669,24.0,24,Good
Kolkata,West_Bengal,"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142,28.0,28,Good
Kolkata,West_Bengal,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691,39.0,39,Good
Vijayawada,Andhra_Pradesh,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,48.0,48,Good
Anantapur,Andhra_Pradesh,"Gulzarpet, Anantapur - APPCB",14.675886,77.593027,64.0,64,Satisfactory
Sri Vijaya Puram,Andaman and Nicobar,"Police Line, Sri Vijaya Puram - ANPCC",11.654054,92.734055,17.0,17,Good
Patna,Bihar,"Samanpura, Patna - BSPCB",25.596727,85.085624,99.0,99,Satisfactory
Korba,Chhattisgarh,"Urja Nagar, Korba - CECB",22.348441,82.549611,79.0,79,Satisfactory
Delhi,Delhi,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,176.0,151,Moderate
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,163.0,142,Moderate
Ahmedabad,Gujarat,"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,68.0,68,Satisfactory
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.636429,77.201067,141.0,128,Moderate
Delhi,Delhi,"Mundka, Delhi - DPCC",28.684678,77.076574,246.0,197,Moderate
Ahmedabad,Gujarat,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",23.04307,72.562968,60.0,60,Satisfactory
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,172.0,148,Moderate
Ahmedabad,Gujarat,"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,99.0,99,Satisfactory
Kalaburagi,Karnataka,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",17.336318,76.847397,36.0,36,Good
Surat,Gujarat,"Science Center, Surat - SMC",21.170046,72.795405,32.0,32,Good
Thiruvananthapuram,Kerala,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865,58.0,58,Satisfactory
Bhopal,Madhya Pradesh,"Idgah Hills, Bhopal - MPPCB",23.264759,77.381568,89.0,89,Satisfactory
Shivamogga,Karnataka,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,46.0,46,Good
Bengaluru,Karnataka,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217,73.0,73,Satisfactory
Sagar,Madhya Pradesh,"Civil Lines, Sagar - MPPCB",23.838586,78.759431,49.0,49,Good
Singrauli,Madhya Pradesh,"Suryakiran Bhawan NCL, Singrauli - MPPCB",24.10897,82.64558,71.0,71,Satisfactory
Badlapur,Maharashtra,"Katrap, Badlapur - MPCB",19.16485,73.23409,105.0,104,Moderate
Bhiwandi,Maharashtra,"Gokul Nagar, Bhiwandi - MPCB",19.309073,73.057223,89.0,89,Satisfactory
Dewas,Madhya Pradesh,"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,64.0,64,Satisfactory
Mandideep,Madhya Pradesh,"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428,85.0,85,Satisfactory
Indore,Madhya Pradesh,"Vijay Nagar Scheme-78, Indore - Glenmark",22.76726,75.8871,40.0,40,Good
Akola,Maharashtra,"Ramdaspeth, Akola - MPCB",20.719516,77.000253,52.0,52,Satisfactory
Gwalior,Madhya Pradesh,"Deen Dayal Nagar, Gwalior - MPPCB",26.259242,78.216432,122.0,115,Moderate
Mumbai,Maharashtra,"Kandivali West, Mumbai - BMC",19.215859,72.831718,30.0,30,Good
Mira-Bhayandar,Maharashtra,"Bhayandar West, Mira-Bhayandar - MPCB",19.296481,72.840923,48.0,48,Good
Mumbai,Maharashtra,"Sewri, Mumbai - BMC",19.000084,72.85673,47.0,47,Good
Nashik,Maharashtra,"Hirawadi, Nashik - MPCB",20.021503,73.813844,72.0,72,Satisfactory
Mumbai,Maharashtra,"Ghatkopar, Mumbai - BMC",19.083694,72.920967,75.0,75,Satisfactory
Angul,Odisha,"Hakimapada, Angul - OSPCB",20.832874,85.104082,40.0,40,Good
Balasore,Odisha,"Kalidaspur, Balasore - OSPCB",21.51161,86.89088,33.0,33,Good
Barbil,Odisha,"Forest Office, Barbil - OSPCB",22.1166054,85.3945546,60.0,60,Satisfactory
Thane,Maharashtra,"Kasarvadavali, Thane - MPCB",19.26777,72.97182,74.0,74,Satisfactory
Thane,Maharashtra,"Upvan Fort, Thane - MPCB",19.222279,72.957979,40.0,40,Good
Rourkela,Odisha,"Raghunathpali, Rourkela - OSPCB",22.220833,84.809444,75.0,75,Satisfactory
Pimpri-Chinchwad,Maharashtra,"Thergaon, Pimpri Chinchwad - MPCB",18.616318,73.765797,57.0,57,Satisfactory
Pune,Maharashtra,"Panchawati_Pashan, Pune - IITM",18.536457,73.805454,45.0,45,Good
Solapur,Maharashtra,"Ratandeep Housing Society, Solapur - MPCB",17.65439,75.90649,50.0,50,Good
Khanna,Punjab,"Kalal Majra, Khanna - PPCB",30.736056,76.209694,130.0,120,Moderate
Kota,Rajasthan,"Dhanmandi, Kota - RSPCB",25.16409,75.858137,74.0,74,Satisfactory
Kota,Rajasthan,"Nayapura, Kota - RSPCB",25.196024,75.855668,80.0,80,Satisfactory
Bhiwadi,Rajasthan,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB",28.207266,76.829265,111.0,108,Moderate
Chittorgarh,Rajasthan,"Shastri Nagar, Chittorgarh - RSPCB",24.892047,74.623527,74.0,74,Satisfactory
Banswara,Rajasthan,"Rati Talai, Banswara - RSPCB",23.55519,74.44001,61.0,61,Satisfactory
Baran,Rajasthan,"Bamboliya, Baran - RSPCB",25.106006,76.469948,81.0,81,Satisfactory
Bharatpur,Rajasthan,"Krishna Nagar, Bharatpur - RSPCB",27.215415,77.50873,102.0,102,Moderate
Jalore,Rajasthan,"Mudtra Sili, Jalore - RSPCB",25.344694,72.626208,79.0,79,Satisfactory
Jhalawar,Rajasthan,"Rajlaxmi Nagar, Jhalawar - RSPCB",24.588397,76.172782,94.0,94,Satisfactory
Churu,Rajasthan,"Subash Chowk, Churu - RSPCB",28.296139,74.961696,81.0,81,Satisfactory
Mandi Gobindgarh,Punjab,"RIMT University, Mandi Gobindgarh - PPCB",30.649961,76.331442,112.0,108,Moderate
Patiala,Punjab,"Model Town, Patiala - PPCB",30.349388,76.366642,129.0,120,Moderate
Salem,TamilNadu,"Sona College of Technology, Salem - TNPCB",11.679111,78.125052,25.0,25,Good
Thanjavur,TamilNadu,"Parisutham Nagar, Thanjavur - TNPCB",10.7654824,79.1389968,23.0,23,Good
Sri Ganganagar,Rajasthan,"Old City, Sri Ganganagar - RSPCB",29.931624,73.864511,152.0,135,Moderate
Agra,Uttar_Pradesh,"Manoharpur, Agra - UPPCB",27.23711,78.01936,98.0,98,Satisfactory
Agra,Uttar_Pradesh,"Rohta, Agra - UPPCB",27.106972,78.000111,61.0,61,Satisfactory
Agra,Uttar_Pradesh,"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,105.0,104,Moderate
Agra,Uttar_Pradesh,"Shahjahan Garden, Agra - UPPCB",27.169338,78.03582,75.0,75,Satisfactory
Hyderabad,Telangana,"Kokapet, Hyderabad - TSPCB",17.393559,78.339194,91.0,91,Satisfactory
Hyderabad,Telangana,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,78.0,78,Satisfactory
Ghaziabad,Uttar_Pradesh,"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839,125.0,117,Moderate
Baghpat,Uttar_Pradesh,"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761,142.0,128,Moderate
Hyderabad,Telangana,"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,53.0,53,Satisfactory
Muzaffarnagar,Uttar_Pradesh,"New Mandi, Muzaffarnagar - UPPCB",29.4723508,77.7194031,127.0,118,Moderate
Varanasi,Uttar_Pradesh,"Maldahiya, Varanasi - UPPCB",25.32393,82.99687,62.0,62,Satisfactory
Dehradun,Uttarakhand,"Doon University, Dehradun - UKPCB",30.269444,78.044167,94.0,94,Satisfactory
Lucknow,Uttar_Pradesh,"Kendriya Vidyalaya, Lucknow - CPCB",26.906111,80.948222,138.0,126,Moderate
Lucknow,Uttar_Pradesh,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,132.0,122,Moderate
Meerut,Uttar_Pradesh,"Jai Bhim Nagar, Meerut - UPPCB",28.9535882,77.7622941,104.0,103,Moderate
Khurja,Uttar_Pradesh,"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002,127.0,118,Moderate
Asansol,West_Bengal,"Evelyn Lodge, Asansol - WBPCB",23.697936,86.944395,41.0,41,Good
Asansol,West_Bengal,"Mahabir Colliery, Asansol - WBPCB",23.618183,87.105718,37.0,37,Good
Kolkata,West_Bengal,"Jadavpur, Kolkata - WBPCB",22.49929,88.36917,48.0,48,Good
